Airline|Flight No.|Departure|Duration|Arrival|Base Fare|Tax 1|Tax 2
AW-1659|28-1405|AW-5946|AW-1659|OM-1707|OM-1707|OM-1707|OM-1707
Akasa Air|QP-1194|04:05|1h 40m|05:45|₹3,709|₹369|21-4380
IndiGo|6E-5323|03:30|1h 50m|05:20|₹4,299|₹375|73-8878
IndiGo|6E-6283|23:30|1h 50m|01:20|₹4,299|₹375|74-459
IndiGo|6E-5205|04:55|1h 55m|06:50|₹4,299|₹375|67-490
Air India|AI-2811|00:10|1h 50m|02:00|₹4,340|₹650|39-4327
Air India|AI-2852|10:30|2h 5m|12:35|₹4,340|₹390|09-0432
Air India|AI-2858|02:15|2h 10m|04:25|₹4,340|₹650|60-4227
Air India|AI-2645|21:25|2h 10m|23:35|₹4,404|₹650|07-1148
IndiGo|6E-5218|14:00|1h 45m|15:45|₹4,597|₹375|83-4922
IndiGo|6E-5216|08:50|1h 50m|10:40|₹4,597|₹375|61-507
IndiGo|6E-5051|10:10|1h 50m|12:00|₹4,597|₹375|20-8146
IndiGo|6E-5031|16:50|1h 50m|18:40|₹4,597|₹375|19-7917
Air India|AI-2846|08:25|2h 5m|10:30|₹4,660|₹650|73-703
Air India|AI-2402|06:40|2h 5m|08:45|₹4,730|₹650|48-1569
Air India|AI-2864|19:45|2h 5m|21:50|₹4,730|₹650|46-795
Air India|AI-2854|17:55|2h 10m|20:05|₹4,730|₹650|24-824
IndiGo|6E-5376|19:15|1h 50m|21:05|₹5,017|₹376|37-4845
Air India|AI-2850|20:25|2h 10m|22:35|₹5,111|₹650|84-000
IndiGo|6E-5094|20:45|1h 55m|22:40|₹5,647|₹423|44-4561
